site_id,action,eval_fiscal_year,fy_start,fy_end,count
357432,violation,2017 / 2018,2017,2018,6
357806,inspection,2015 / 2016,2015,2016,2
357806,inspection,2019 / 2020,2019,2020,1
357806,violation,2015 / 2016,2015,2016,6
357826,inspection,2015 / 2016,2015,2016,2
357826,violation,2015 / 2016,2015,2016,1
357868,inspection,2016 / 2017,2016,2017,2
357868,violation,2016 / 2017,2016,2017,1
357892,enf_action,2015 / 2016,2015,2016,1
357892,inspection,2014 / 2015,2014,2015,4
357892,inspection,2015 / 2016,2015,2016,2
357892,inspection,2017 / 2018,2017,2018,1
357892,inspection,2019 / 2020,2019,2020,2
357892,violation,2014 / 2015,2014,2015,5
357892,violation,2019 / 2020,2019,2020,1
357899,enf_action,2016 / 2017,2016,2017,2
357899,violation,2015 / 2016,2015,2016,3
357899,violation,2016 / 2017,2016,2017,1
357899,violation,2017 / 2018,2017,2018,1
357943,inspection,2019 / 2020,2019,2020,1
358048,inspection,2015 / 2016,2015,2016,4
358048,inspection,2018 / 2019,2018,2019,1
358048,violation,2015 / 2016,2015,2016,3
358151,inspection,2015 / 2016,2015,2016,1
358151,violation,2015 / 2016,2015,2016,9
358210,enf_action,2015 / 2016,2015,2016,1
358210,inspection,2015 / 2016,2015,2016,2
358210,inspection,2018 / 2019,2018,2019,3
358210,violation,2015 / 2016,2015,2016,4
358210,violation,2018 / 2019,2018,2019,4
358287,inspection,2018 / 2019,2018,2019,2
358287,inspection,2019 / 2020,2019,2020,2
358287,violation,2018 / 2019,2018,2019,3
358287,violation,2019 / 2020,2019,2020,2
358333,inspection,2015 / 2016,2015,2016,2
358333,inspection,2017 / 2018,2017,2018,1
358333,inspection,2018 / 2019,2018,2019,2
358333,violation,2015 / 2016,2015,2016,4
358333,violation,2017 / 2018,2017,2018,7
358400,inspection,2018 / 2019,2018,2019,1
358402,inspection,2018 / 2019,2018,2019,1
358417,inspection,2018 / 2019,2018,2019,2
358417,inspection,2019 / 2020,2019,2020,1
358417,violation,2018 / 2019,2018,2019,1
358456,inspection,2018 / 2019,2018,2019,1
358456,violation,2018 / 2019,2018,2019,2
358505,inspection,2013 / 2014,2013,2014,1
358505,inspection,2015 / 2016,2015,2016,1
358505,inspection,2016 / 2017,2016,2017,1
358505,inspection,2019 / 2020,2019,2020,1
358505,violation,2016 / 2017,2016,2017,9
358505,violation,2019 / 2020,2019,2020,1
358632,inspection,2015 / 2016,2015,2016,1
358632,inspection,2018 / 2019,2018,2019,1
358632,violation,2018 / 2019,2018,2019,1
358693,inspection,2014 / 2015,2014,2015,1
358693,inspection,2015 / 2016,2015,2016,2
358693,violation,2014 / 2015,2014,2015,5
358744,inspection,2014 / 2015,2014,2015,1
358744,inspection,2015 / 2016,2015,2016,1
358744,inspection,2016 / 2017,2016,2017,1
358744,inspection,2018 / 2019,2018,2019,1
358744,violation,2014 / 2015,2014,2015,3
358744,violation,2015 / 2016,2015,2016,13
358762,inspection,2018 / 2019,2018,2019,1
358762,violation,2018 / 2019,2018,2019,1
358782,inspection,2015 / 2016,2015,2016,7
358782,inspection,2018 / 2019,2018,2019,2
358782,violation,2015 / 2016,2015,2016,8
358785,inspection,2015 / 2016,2015,2016,1
358785,inspection,2019 / 2020,2019,2020,1
358785,violation,2015 / 2016,2015,2016,7
358785,violation,2019 / 2020,2019,2020,1
358861,inspection,2018 / 2019,2018,2019,2
358861,inspection,2019 / 2020,2019,2020,2
358861,violation,2018 / 2019,2018,2019,5
358861,violation,2019 / 2020,2019,2020,2
